,CityID,City,Humidity,Temp,Latitude,Cloudiness,WindSpeed,MaxTemp,Longitude,LatLong,CountryCode
118,935215,Saint-Philippe,94,76.37,-21.36,90,4.7,80.6,55.77,"{'lon': 55.77, 'lat': -21.36}",RE
119,3445679,Uruguaiana,78,73.4,-29.75,0,11.41,73.4,-57.09,"{'lon': -57.09, 'lat': -29.75}",BR
120,2171099,Codrington,66,59.27,-38.27,32,37.56,59.27,141.97,"{'lon': 141.97, 'lat': -38.27}",AU
121,5880054,Barrow,83,-7.6,71.29,1,8.05,-7.6,-156.79,"{'lon': -156.79, 'lat': 71.29}",US
122,3421719,Narsaq,66,15.8,60.92,62,2.24,15.8,-46.05,"{'lon': -46.05, 'lat': 60.92}",GL
123,2136825,Isangel,83,80.6,-19.55,90,14.58,80.6,169.27,"{'lon': 169.27, 'lat': -19.55}",VU
124,4497868,Waynesville,31,30.31,35.49,1,6.93,34.0,-82.99,"{'lon': -82.99, 'lat': 35.49}",US
125,4020109,Atuona,70,81.19,-9.8,74,9.71,81.19,-139.03,"{'lon': -139.03, 'lat': -9.8}",PF
126,1516589,Zhezkazgan,100,24.8,47.8,90,33.55,24.8,67.71,"{'lon': 67.71, 'lat': 47.8}",KZ
127,1795166,Shima,78,71.6,24.45,75,2.24,71.6,117.81,"{'lon': 117.81, 'lat': 24.45}",CN
128,3372964,Lagoa,71,57.94,39.05,15,14.63,57.94,-27.98,"{'lon': -27.98, 'lat': 39.05}",PT
129,1185274,Baniachang,50,62.46,24.52,0,4.25,62.46,91.37,"{'lon': 91.37, 'lat': 24.52}",BD
130,2108857,Gizo,69,82.11,-8.1,37,8.21,82.11,156.84,"{'lon': 156.84, 'lat': -8.1}",SB
131,5866583,Kodiak,53,24.8,57.79,1,8.05,24.8,-152.41,"{'lon': -152.41, 'lat': 57.79}",US
132,2381334,Atar,30,60.64,20.52,100,4.7,60.64,-13.05,"{'lon': -13.05, 'lat': 20.52}",MR
133,2963370,Killarney,95,45.37,52.05,95,1.81,45.37,-9.52,"{'lon': -9.52, 'lat': 52.05}",IE
134,3421765,Nanortalik,76,25.36,60.14,100,22.5,25.36,-45.24,"{'lon': -45.24, 'lat': 60.14}",GL
